,episode,reward,loss
0,1,14.0,6.17738151550293
1,2,13.0,7.883319854736328
2,3,10.0,1.9989688396453857
3,4,10.0,2.716282367706299
4,5,10.0,1.8401577472686768
5,6,10.0,0.36486563086509705
6,7,10.0,0.3216743767261505
7,8,10.0,0.846711277961731
8,9,10.0,0.49927839636802673
9,10,10.0,0.2613106667995453
10,11,10.0,0.7191640734672546
11,12,10.0,0.639742910861969
12,13,13.0,-0.15309977531433105
13,14,10.0,0.1282111555337906
14,15,10.0,0.2943113446235657
15,16,10.0,0.27981674671173096
16,17,10.0,0.14051635563373566
17,18,10.0,0.1265108287334442
18,19,10.0,0.2637556791305542
19,20,10.0,0.37234237790107727
20,21,10.0,0.3420233130455017
21,22,10.0,0.2411927580833435
22,23,10.0,0.1898043304681778
23,24,10.0,0.20847097039222717
24,25,10.0,0.21022112667560577
25,26,10.0,0.13691021502017975
26,27,10.0,0.04429136961698532
27,28,10.0,0.01750737614929676
28,29,10.0,0.052106812596321106
29,30,10.0,0.06906682997941971
30,31,10.0,0.042846448719501495
31,32,10.0,0.03292931988835335
32,33,10.0,0.06923568248748779
33,34,10.0,0.09746933728456497
34,35,10.0,0.0765056237578392
35,36,10.0,0.04342685267329216
36,37,10.0,0.03913984075188637
37,38,10.0,0.04459856450557709
38,39,10.0,0.0290677547454834
39,40,10.0,0.005840158089995384
40,41,10.0,0.003435218008235097
41,42,10.0,0.018182678148150444
42,43,10.0,0.02531328797340393
43,44,10.0,0.019727297127246857
44,45,10.0,0.01713014766573906
45,46,10.0,0.02378418669104576
46,47,10.0,0.027822749689221382
47,48,10.0,0.02062748558819294
48,49,10.0,0.010357075370848179
49,50,10.0,0.007700663059949875
50,51,10.0,0.009528319351375103
51,52,10.0,0.006965510081499815
52,53,10.0,0.0018938876455649734
53,54,10.0,0.002410113113000989
54,55,10.0,0.0073791807517409325
55,56,10.0,0.008881435729563236
56,57,10.0,0.006337717641144991
57,58,10.0,0.005690096877515316
